# AlignPro XYZ Point Cloud Survey Test Data
# Format: X, Y, Z (comma-separated)
-348.606,-354.750,39.933
-323.601,-347.635,41.298
-287.745,-354.131,44.740
-267.202,-352.814,47.777
-238.068,-353.012,52.224
-203.717,-352.796,55.466
-171.906,-354.935,55.652
-143.852,-351.597,52.342
-112.095,-351.634,47.696
-91.533,-346.525,45.115
-55.262,-347.703,41.283
-24.436,-351.215,40.129
3.294,-348.815,40.370
29.940,-347.954,39.391
55.612,-352.106,38.265
84.828,-353.990,35.537
118.024,-351.352,30.867
142.928,-352.330,27.853
176.480,-348.909,24.236
206.458,-353.366,24.639
238.229,-348.600,28.092
264.346,-346.571,32.183
288.957,-354.679,35.151
318.511,-352.890,38.913
353.764,-351.853,40.092
-351.044,-316.688,39.799
-323.185,-323.367,40.854
-294.039,-319.987,43.696
-263.506,-323.640,48.083
-233.238,-324.924,51.435
-208.070,-319.559,54.333
-175.778,-325.198,54.520
-140.872,-320.542,51.821
-113.059,-325.719,47.814
-85.683,-320.464,43.405
-56.924,-324.718,40.948
-29.629,-316.295,40.242
-2.366,-320.827,39.653
33.293,-317.128,39.870
59.723,-319.744,38.552
90.125,-320.440,36.087
116.970,-325.828,31.645
141.028,-316.542,29.182
178.317,-322.758,24.930
207.947,-316.364,25.686
233.193,-325.141,28.359
265.158,-324.549,32.603
292.165,-323.183,36.760
320.065,-323.715,39.046
352.299,-323.822,39.912
-345.049,-290.168,39.439
-320.658,-295.457,40.000
-293.286,-290.784,42.066
-265.298,-295.957,46.275
-236.044,-287.612,49.990
-208.458,-294.287,52.814
-177.858,-295.344,53.586
-145.123,-291.940,50.676
-113.592,-294.763,45.947
-88.189,-292.431,42.874
-56.043,-289.933,40.584
-33.182,-292.640,39.388
3.617,-294.180,39.773
28.653,-292.448,40.243
55.831,-287.434,39.929
91.113,-291.163,36.355
121.659,-288.306,33.340
150.097,-288.180,28.961
174.856,-294.529,26.915
199.753,-292.877,27.512
230.985,-288.826,29.655
261.730,-287.093,34.323
292.224,-289.483,37.260
318.800,-286.980,39.960
350.422,-289.187,40.062
-349.158,-262.471,39.383
-324.259,-257.892,38.497
-294.808,-261.550,40.975
-265.148,-266.301,44.853
-235.871,-261.555,47.962
-204.974,-261.663,50.495
-170.653,-265.457,50.925
-148.446,-263.542,48.966
-118.667,-264.338,45.478
-91.775,-262.917,42.329
-53.372,-266.767,38.958
-31.515,-258.167,39.254
3.793,-263.805,39.814
32.504,-260.465,41.204
63.206,-260.960,40.082
90.671,-264.506,38.363
121.056,-266.157,33.953
141.904,-261.968,31.809
176.048,-260.324,29.171
205.509,-264.860,29.285
237.387,-259.039,32.116
261.736,-264.733,34.697
294.378,-261.129,38.945
323.246,-261.983,40.838
345.097,-266.748,41.332
-345.961,-232.877,38.643
-320.008,-236.852,37.822
-293.584,-229.344,39.380
-258.893,-229.344,42.295
-235.838,-237.305,46.173
-200.325,-234.270,48.393
-178.454,-229.035,48.203
-141.071,-230.226,45.659
-121.419,-230.968,42.935
-83.192,-230.311,39.490
-55.226,-235.665,38.401
-33.086,-229.612,38.512
-2.776,-230.167,39.777
27.219,-230.380,41.321
53.570,-236.402,41.708
91.144,-228.664,40.104
118.081,-234.337,37.510
146.195,-228.941,33.927
179.704,-236.548,31.893
201.821,-237.249,31.441
235.619,-235.197,34.369
262.614,-234.481,37.532
289.214,-231.245,39.953
325.089,-232.949,42.250
352.420,-231.627,41.311
-354.300,-202.524,37.944
-322.694,-200.687,36.843
-293.663,-206.074,37.543
-263.476,-206.210,39.863
-234.129,-199.763,42.889
-200.139,-203.012,45.074
-174.521,-209.163,45.588
-146.534,-203.367,43.542
-117.017,-204.745,40.197
-87.768,-200.155,37.826
-61.636,-208.319,36.987
-27.837,-205.815,38.151
2.511,-202.439,39.947
26.158,-208.922,41.739
58.085,-200.669,42.979
86.644,-202.869,42.059
